,School Resource Package Allocations,,,,,,,,,Student Enrolments – First term census ,,,,Student Attendance,
,2014 Students 1st Term FTE,2015 Students 1st Term FTE,2014 Final FFM $,2015 Final FFM $,2014 Final SRP $,2015 Final SRP $,2013 OENI,2014 OENI,ARIA+,2014 Headcount,2014 FTE,2015 Headcount,2015 FTE,2013 (%),2014 (%)
Huonville High School,472.1,470.3,661236,693508,1125592,1164763,0.612,0.6072,2.5,477,472.1,475,470.3,84,83
Huonville Primary School,417.2,401.8,535787,547287,1023449,1059982,0.5715,0.5622,2.5,434,417.2,421,401.8,91,92
Illawarra Primary School,386.6,408.6,367189,419845,624122,717777,0.2727,0.2611,1.83,408,386.6,437,408.6,93,93
Invermay Primary School,280.4,266.2,411507,406912,655112,627446,0.6816,0.6469,1.83,298,280.4,281,266.2,93,93
JRLF - East Derwent Primary School,370,362,582694,588843,1218253,1238987,0.7831,0.7719,1.83,394,370,380,362,89,88
JRLF - Gagebrook Primary School,142.8,144.6,240326,250650,773808,744101,0.9057,0.9181,1.83,154,142.8,153,144.6,88,87
JRLF - Herdsmans Cove Primary School,172,168,277745,281668,717993,718479,0.8702,0.8457,1.83,180,172,174,168,90,89
JRLF - Senior School,340.7,360.3,552165,621969,1387681,1483394,0.831,0.806,1.83,358,340.7,366,360.3,65,71
Kempton Primary School,39,37.6,73991,74664,186442,182358,0.6163,0.6111,2.82,41,39,40,37.6,91,92
King Island District High School,162.6,157.8,440256,457196,633537,716799,0.4638,0.4722,15,167,162.6,165,157.8,91,93
Kingston High School,723,718,699076,728935,995124,991182,0.4236,0.4197,1.83,723,723,718,718,88,87
Kingston Primary School,379,379,420801,434305,803871,811603,0.4985,0.4834,1.83,401,379,397,379,93,93
Kings Meadows High School - City Campus,87.6,67.8,112313,100514,196274,183941,0.6027,0.6447,1.83,89,87.6,68,67.8,78,68
Kings Meadows High School - Kings Meadows Campus,501,519,557758,617451,981184,960986,0.5282,0.5228,1.83,501,501,519,519,90,88
Lansdowne Crescent Primary School,380.8,393.6,356010,383541,600986,637289,0.1851,0.1902,1.83,400,380.8,412,393.6,93,94
Latrobe High School,428,417.6,512217,519386,699488,733495,0.5272,0.5122,2.42,428,428,418,417.6,90,89
Latrobe Primary School,333.6,326.8,404333,454830,698173,746777,0.5833,0.5632,2.42,354,333.6,344,326.8,93,93
Lauderdale Primary School,548.8,563.2,547367,585633,906157,964522,0.3765,0.3811,1.83,584,548.8,596,563.2,93,93
Launceston College,1387.1,1370.5,1238363,1306791,1834284,1858898,0.4326,0.4464,1.83,1432,1387.1,1396,1370.5,,
Lenah Valley Primary School,461.8,482.4,443478,496470,731880,805727,0.3261,0.3216,1.83,487,461.8,514,482.4,93,93
Lilydale District School,395.5,372.7,422973,438658,762506,771184,0.4299,0.4549,2.7,409,395.5,398,372.7,91,91
Lindisfarne North Primary School,281.8,277.8,287998,297652,460405,616408,0.4125,0.4177,1.83,300,281.8,295,277.8,94,94
Lindisfarne Primary School,332.6,316.8,330482,329890,529496,580390,0.3945,0.3907,1.83,351,332.6,334,316.8,94,94
Longford Primary School,240.6,240.8,304428,307799,541419,497690,0.5508,0.5445,2.23,257,240.6,250,240.8,93,93
